iter	Passed	Remaining
874	5319	759
875	5327	754
876	5333	748
877	5340	742
878	5347	736
879	5354	730
880	5361	724
881	5367	718
882	5374	712
883	5380	706
884	5387	700
885	5394	694
886	5401	688
887	5408	682
888	5415	676
889	5422	670
890	5430	664
891	5437	658
892	5445	652
893	5452	646
894	5459	640
895	5466	634
896	5473	628
897	5479	622
898	5486	616
899	5493	610
900	5500	604
901	5508	598
902	5515	592
903	5522	586
904	5528	580
905	5534	574
906	5541	568
907	5547	562
908	5553	555
909	5560	549
910	5566	543
911	5573	537
912	5579	531
913	5585	525
914	5592	519
915	5598	513
916	5605	507
917	5612	501
918	5618	495
919	5624	489
920	5631	483
921	5637	476
922	5645	470
923	5651	464
924	5658	458
925	5665	452
926	5671	446
927	5678	440
928	5685	434
929	5691	428
930	5697	422
931	5704	416
932	5711	410
933	5718	404
934	5724	397
935	5731	391
936	5737	385
937	5744	379
938	5751	373
939	5757	367
940	5764	361
941	5770	355
942	5777	349
943	5784	343
944	5791	337
945	5797	330
946	5803	324
947	5811	318
948	5818	312
949	5825	306
950	5832	300
951	5839	294
952	5845	288
953	5852	282
954	5859	276
955	5867	270
956	5874	263
957	5880	257
958	5887	251
959	5894	245
960	5901	239
961	5908	233
962	5915	227
963	5921	221
964	5928	215
965	5934	208
966	5941	202
967	5948	196
968	5955	190
969	5961	184
970	5968	178
971	5974	172
972	5981	165
973	5988	159
974	5994	153
975	6001	147
976	6007	141
977	6014	135
978	6021	129
979	6027	123
980	6034	116
981	6040	110
982	6047	104
983	6054	98
984	6061	92
985	6068	86
986	6075	80
987	6081	73
988	6088	67
989	6094	61
990	6101	55
991	6108	49
992	6114	43
993	6121	36
994	6128	30
995	6135	24
996	6142	18
997	6149	12
998	6155	6
999	6162	0
